TumorSen,TumorSpec,WallSen,WallSpec
0.8461081385612488,0.9994055032730103,0.9034620523452759,0.9957439303398132
nan,0.9894599914550781,0.5034386515617371,0.9979749917984009
0.0,1.0,0.8890625238418579,0.9953432679176331
nan,1.0,0.7040314674377441,0.9988170266151428
nan,1.0,0.9823943376541138,0.9993335604667664
nan,1.0,0.970811665058136,0.9994145631790161
nan,1.0,0.8501421809196472,0.9955336451530457
0.9449877738952637,0.9973886609077454,0.7786885499954224,0.9963048696517944
nan,1.0,0.9768421053886414,0.995892345905304
0.9254267811775208,0.9990391135215759,0.9549116492271423,0.993912935256958
0.9119496941566467,0.9929041862487793,0.04100227728486061,0.9994354844093323
nan,1.0,0.8427934646606445,0.9942877888679504
0.9376874566078186,0.9979239106178284,0.8169877529144287,0.9996844530105591
0.9366196990013123,0.9992756843566895,0.8804872632026672,0.9979661107063293
nan,1.0,0.9261384010314941,0.9981855154037476
0.9104913473129272,0.9987510442733765,nan,1.0
nan,1.0,0.8880652189254761,0.9984081387519836
0.6035842299461365,0.9998674988746643,0.7542372941970825,0.9957981705665588
nan,1.0,0.0,1.0
nan,1.0,0.7960598468780518,0.9997701048851013
0.840414822101593,0.9987030029296875,0.9348250031471252,0.9941011667251587
0.8454545736312866,0.9992848634719849,0.9313682317733765,0.9914750456809998
0.9763075113296509,0.9928090572357178,0.34536081552505493,0.999252200126648
0.579104483127594,0.9993860721588135,nan,0.9982032775878906
0.8825424909591675,0.9995130300521851,0.8964781165122986,0.9988132119178772
0.8932853937149048,0.9990563988685608,0.6462346911430359,0.9997629523277283
nan,1.0,0.899712860584259,0.9948889017105103
1.0,0.9961904287338257,0.8531621098518372,0.9963960647583008
nan,0.9890480041503906,0.7966526746749878,0.9876594543457031
nan,1.0,0.9249175190925598,0.9912639260292053
nan,0.99481201171875,0.7388346195220947,0.9992551207542419
nan,1.0,0.860754668712616,0.9891715049743652
0.7923904061317444,0.9972675442695618,0.8866530060768127,0.9963844418525696
nan,1.0,0.8779971599578857,0.9989312887191772
0.0,1.0,0.9562483429908752,0.9912552833557129
0.9405171275138855,0.996940553188324,0.772357702255249,0.999709963798523
0.9551820755004883,0.9972028136253357,0.7547864317893982,0.9973121285438538
nan,1.0,0.9936996102333069,0.9978262782096863
nan,0.997314453125,0.9923570156097412,0.9984811544418335
0.961223304271698,0.9936681389808655,nan,0.9956474304199219
nan,1.0,0.910183310508728,0.9985227584838867
nan,0.9921302795410156,0.6956191062927246,0.9993074536323547
nan,1.0,0.9603764414787292,0.9989704489707947
0.9625023007392883,0.9981377124786377,nan,1.0
0.9489355087280273,0.9954197406768799,0.8020014762878418,0.9735006093978882
nan,1.0,0.4376593232154846,0.9949498176574707
nan,0.9998931884765625,0.9112706780433655,0.9942873120307922
nan,1.0,0.6856696605682373,0.9994491338729858
0.707211434841156,1.0,0.9338521361351013,0.9995303153991699
0.963496744632721,0.9961605072021484,nan,1.0
0.9866262674331665,0.9954270720481873,nan,1.0
0.6773938536643982,0.9998075366020203,0.9496821761131287,0.9880419373512268
nan,1.0,0.8860962390899658,0.9867339730262756
0.993789553642273,0.9953067898750305,0.25684723258018494,0.9965758323669434
nan,1.0,0.9198446869850159,0.9984559416770935
0.959192156791687,0.9988731145858765,nan,1.0
0.9886527061462402,0.997983455657959,nan,1.0
0.9261036515235901,0.9985696077346802,nan,1.0
0.9784321784973145,0.9976707100868225,0.6628014445304871,0.9838390946388245
0.9790423512458801,0.9982152581214905,0.9379594326019287,0.9969622492790222
nan,1.0,0.9213197827339172,0.9997808933258057
0.7580238580703735,0.9983684420585632,0.7225396633148193,0.9902981519699097
0.8811579346656799,0.9996243119239807,0.9217318892478943,0.9986778497695923
0.0,1.0,0.5393665432929993,0.9805334210395813
0.3764619827270508,0.9999883770942688,nan,0.9845123291015625
nan,1.0,0.6995977163314819,0.9944713711738586
0.0,1.0,0.0,0.9995965957641602
nan,1.0,0.5741265416145325,0.9909446835517883
0.9748736023902893,0.9901140928268433,nan,1.0
nan,1.0,0.8757995963096619,0.9983139634132385
nan,1.0,0.8778837323188782,0.9976412057876587
nan,1.0,0.875,0.9996747970581055
0.8573482632637024,0.9942513704299927,0.9727626442909241,0.9948645234107971
0.9635624885559082,0.9924479722976685,nan,1.0
nan,1.0,0.0,0.9881711602210999
nan,1.0,0.8375304341316223,0.9974819421768188
0.9807788133621216,0.998535692691803,0.7452054619789124,0.9995415806770325
0.8795680999755859,0.989717960357666,0.3124312460422516,0.9996402263641357
0.9770889282226562,0.9963015913963318,0.0,1.0
0.7839572429656982,0.9994206428527832,0.9139213562011719,0.9971407651901245
0.9525671601295471,0.9961250424385071,0.36594662070274353,0.9991238117218018
0.48296594619750977,0.9997472763061523,0.8088353276252747,0.9882215261459351
nan,1.0,0.8775554895401001,0.998963475227356
0.8619683980941772,0.9977289438247681,0.870571494102478,0.9793844819068909
nan,1.0,0.9840116500854492,0.9988616704940796
0.8661323189735413,0.9984509348869324,0.9358752369880676,0.9627199172973633
nan,1.0,0.9930579662322998,0.9984224438667297
nan,0.9935302734375,0.0,0.9873080253601074
0.9659811854362488,0.997878909111023,nan,1.0
0.9393039345741272,0.9997467398643494,0.0,1.0
0.9613463282585144,0.9977781176567078,nan,1.0
0.9874829649925232,0.9972724318504333,0.965687096118927,0.9989307522773743
0.9874088764190674,0.9901986122131348,0.09877084940671921,1.0
nan,1.0,0.6297516822814941,0.997935950756073
nan,1.0,0.669099748134613,0.9981100559234619
0.9222221970558167,0.9974902868270874,0.5777173638343811,0.9953726530075073
0.9508301615715027,0.9967138767242432,0.6319018602371216,0.9984980821609497
nan,1.0,0.9645874500274658,0.9995362162590027
0.0,1.0,0.8627748489379883,0.9711410999298096
0.0,0.9967504739761353,0.9202645421028137,0.9900208711624146
nan,1.0,0.9835565090179443,0.9980223774909973
0.8144111633300781,0.9993197917938232,0.8661375641822815,0.9920423626899719
nan,1.0,0.829387366771698,0.9964386224746704
nan,1.0,0.9860352873802185,0.997767448425293
nan,1.0,0.94259113073349,0.9967054128646851
0.776348352432251,0.9999346733093262,0.7269935607910156,0.9944764971733093
0.9215226769447327,0.9984215497970581,nan,1.0
nan,0.985321044921875,0.5314887762069702,0.9995530247688293
0.9540995359420776,0.9997273087501526,nan,0.9995655417442322
0.8730428218841553,0.9989760518074036,0.9473684430122375,0.9994503259658813
0.8729240298271179,0.9995068311691284,nan,1.0
nan,1.0,0.8447216749191284,0.9979956150054932
nan,1.0,0.9875055551528931,0.9994536638259888
0.9846894145011902,0.9984276294708252,nan,1.0
nan,1.0,0.869291365146637,0.9949228763580322
nan,1.0,0.9681378602981567,0.9994843006134033
nan,1.0,0.9683592915534973,0.9994035959243774
0.9881450533866882,0.9932223558425903,0.4484785497188568,0.9999305605888367
nan,1.0,0.7420667409896851,0.9991305470466614
0.9514793157577515,0.996252715587616,0.9347038269042969,0.9964959621429443
nan,1.0,0.9462759494781494,0.9967998266220093
nan,1.0,0.9720416069030762,0.9986657500267029
nan,0.9990959167480469,0.9809624552726746,0.9994619488716125
nan,1.0,0.8709922432899475,0.9993693232536316
nan,1.0,0.9822683334350586,0.9984526634216309
nan,1.0,0.9294173121452332,0.9963197112083435
0.93459552526474,0.998763918876648,0.8293299674987793,0.9976909160614014
0.9981889724731445,0.9959368109703064,nan,1.0
0.9596822261810303,0.9974932074546814,0.9481682777404785,0.9939701557159424
nan,1.0,0.7359198927879333,0.995331883430481
nan,1.0,0.7811387777328491,0.9992651343345642
nan,1.0,0.9377413392066956,0.9986201524734497
